network_congestion,txn_size_bytes,is_priority,block_fullness_pct,gas_fee_gwei
0.3,234,0,74.6,23.62
0.6,1978,1,50.5,142.03
0.6,1039,0,70.4,48.74
0.3,960,1,93.5,87.12
0.8,833,1,75.9,92.47
0.2,1461,0,88.3,46.62
0.3,1479,0,97.8,32.17
0.5,289,1,72.6,70.4
0.3,392,0,64.9,54.48
0.5,797,1,87.2,84.02
0.1,898,0,57.0,37.76
0.5,1853,0,84.9,82.4
0.8,1052,1,95.5,90.75
0.7,921,1,88.5,76.5
0.2,300,1,90.7,43.01
0.7,1888,0,65.1,87.21
0.2,1295,1,56.9,104.58
0.6,1949,0,75.6,73.93
0.2,370,0,75.9,11.03
0.4,1474,1,91.0,108.87
0.6,1889,1,87.0,133.77
0.8,262,0,57.4,36.43
0.3,1369,1,92.2,90.23
0.7,381,1,91.5,66.52
0.9,1157,0,76.2,67.3
